Rk,Players,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
128,Luis Díaz,co COL,FW,Liverpool,26-024,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1,2.7,21,25,72,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.4,0.26,0.4,Matches,4a1a9578
129,Eric Dier,eng ENG,DF,Tottenham,29-022,1994,21,20,1825,20.3,2,0,2,2,0,0,1,0,0.9,0.9,0.8,1.8,5,64,11,0.1,0,0.1,0.1,0.1,0.05,0.04,0.09,0.05,0.09,Matches,ac861941
130,Lucas Digne,fr FRA,DF,Aston Villa,29-201,1993,15,14,1111,12.3,1,0,1,1,0,0,2,0,0.2,0.2,1.2,1.5,22,43,70,0.08,0,0.08,0.08,0.08,0.02,0.1,0.12,0.02,0.12,Matches,1b84dbe1
131,Issa Diop,fr FRA,DF,Fulham,26-028,1997,14,11,1056,11.7,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,5,45,3,0.09,0,0.09,0.09,0.09,0.02,0,0.03,0.02,0.03,Matches,a712ca2b
132,Moussa Djenepo,ml MLI,DFFW,Southampton,24-236,1998,12,6,578,6.4,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,23,17,32,0,0.16,0.16,0,0.16,0.03,0.04,0.07,0.03,0.07,Matches,254147d4
133,Ben Doak,sct SCO,FW,Liverpool,17-087,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,Matches,733f1a7d
134,Matt Doherty,ie IRL,DFMF,Tottenham,31-021,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1,16,20,57,0.13,0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,Matches,d557d734
135,Gabriel Dos Santos,br BRA,DF,Arsenal,25-049,1997,20,20,1800,20,2,0,2,2,0,0,4,0,2.9,2.9,0.2,3.1,10,80,6,0.1,0,0.1,0.1,0.1,0.15,0.01,0.15,0.15,0.15,Matches,67ac5bb8
136,Abdoulaye Doucouré,ml MLI,MF,Everton,30-036,1993,11,3,318,3.5,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,2,8,6,0,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches,02b29014
137,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-029,2000,19,19,1557,17.3,0,2,2,0,0,0,6,0,0.7,0.7,1.6,2.3,12,79,10,0,0.12,0.12,0,0.12,0.04,0.09,0.13,0.04,0.13,Matches,ce4f40c7
138,Flynn Downes,eng ENG,MF,West Ham,24-017,1999,9,3,286,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,1,6,7,0,0,0,0,0,0.08,0.02,0.09,0.08,0.09,Matches,69fdb896
139,Cody Drameh,eng ENG,DF,Leeds United,21-060,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,Matches,e0d1510a
140,Shane Duffy,ie IRL,FWDF,Fulham,31-036,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7314bba4
141,Lewis Dunk,eng ENG,DF,Brighton,31-077,1991,20,20,1799,20,0,0,0,0,0,0,2,0,0.8,0.8,0.1,0.9,11,68,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,282f75f3
142,Jhon Durán,co COL,FW,Aston Villa,19-055,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,Matches,414184f7
143,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-155,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,Matches,fa9fa773
144,Ederson,br BRA,GK,Manchester City,29-173,1993,21,21,1890,21,0,1,1,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,0.05,0.05,0,0.05,0,0.01,0.01,0,0.01,Matches,3bb7b8b4
145,Odsonne Édouard,fr FRA,FWMF,Crystal Palace,25-021,1998,19,12,1073,11.9,3,2,5,3,0,0,3,0,2.7,2.7,0.9,3.6,20,27,55,0.25,0.17,0.42,0.25,0.42,0.23,0.08,0.3,0.23,0.3,Matches,0562b7f1
146,Samuel Edozie,eng ENG,FWMF,Southampton,20-009,2003,14,5,530,5.9,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,22,10,34,0,0,0,0,0,0.15,0.06,0.21,0.15,0.21,Matches,007414dd
147,Anthony Elanga,se SWE,FW,Manchester Utd,20-285,2002,13,5,397,4.4,0,1,1,0,0,0,0,0,0.6,0.6,0.8,1.4,10,6,25,0,0.23,0.23,0,0.23,0.13,0.18,0.31,0.13,0.31,Matches,2fba6108
148,Harvey Elliott,eng ENG,MFFW,Liverpool,19-308,2003,20,13,1130,12.6,1,1,2,1,0,0,1,0,1.1,1.1,2.3,3.4,40,88,92,0.08,0.08,0.16,0.08,0.16,0.09,0.19,0.27,0.09,0.27,Matches,c8387671
149,Mohamed Elneny,eg EGY,MF,Arsenal,30-210,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches,47a34c4f
150,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-186,1994,20,17,1400,15.6,0,1,1,0,0,0,3,0,2.5,2.5,1.9,4.5,32,32,71,0,0.06,0.06,0,0.06,0.16,0.12,0.29,0.16,0.29,Matches,68dc0dac
151,Emerson,br BRA,DF,Tottenham,24-023,1999,17,14,1180,13.1,1,1,2,1,0,0,1,1,1.1,1.1,0.6,1.7,34,58,81,0.08,0.08,0.15,0.08,0.15,0.09,0.04,0.13,0.09,0.13,Matches,df8b52a5
